Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-04-01,248.72,240.91,239.13,246.5,460606.0,44054638.0
2020-04-02,245.15,244.93,236.9,240.34,380294.0,41483493.0
2020-04-03,245.7,241.41,238.9741,242.8,293699.0,32470017.0
2020-04-06,263.11,262.47,249.38,250.9,486681.0,50455071.0
2020-04-07,271.7,259.43,259.0,270.8,467375.0,50721831.0
2020-04-08,267.37,266.07,261.23,262.74,391246.0,42223821.0
2020-04-09,270.07,267.99,264.7,268.7,415870.0,40529123.0
2020-04-13,273.7,273.25,265.83,268.31,343829.0,32755731.0
2020-04-14,288.25,287.05,278.05,280.0,476983.0,48748672.0
2020-04-15,286.33,284.43,280.63,282.4,312185.0,32788641.0
2020-04-16,288.1975,286.69,282.3502,287.38,377056.0,39281290.0
2020-04-17,286.945,282.8,276.86,284.69,571192.0,53812478.0
2020-04-20,281.68,276.93,276.85,277.95,357160.0,32503750.0
2020-04-21,277.25,268.37,265.43,276.28,530768.0,45247893.0
2020-04-22,277.9,276.1,272.2,273.61,287132.0,29264342.0
2020-04-23,281.75,275.03,274.87,275.87,318314.0,31203582.0
2020-04-24,283.01,282.97,277.0,277.2,306176.0,31627183.0
2020-04-27,284.54,283.17,279.95,281.8,300771.0,29271893.0
2020-04-28,285.83,278.58,278.2,285.08,285384.0,28001187.0
2020-04-29,289.67,287.73,283.89,284.73,324890.0,34320204.0
2020-04-30,294.53,293.8,288.35,289.96,471129.0,45765968.0
